ListingId,Address,District,Suburb,Region,Area,LandArea,Bathrooms,Bedrooms,Parking,TotalParking,StartDate,EndDate,RateableValue
5165976983,15 van Dieman Close,Christchurch City,Templeton,Canterbury,230,728,2.0,4.0,2 Car Garaging & 2 Carport.,2,2025-02-11 15:56:19,2025-04-14 08:23:19,810000
5165973567,413 Yaldhurst Road,Christchurch City,Russley,Canterbury,130,809,1.0,3.0,2 garage spaces,2,2025-02-11 15:53:21,2025-04-14 10:06:21,0
5165919230,59 Mcgregors Road,Christchurch City,Bromley,Canterbury,110,0,1.0,3.0,1 garage spaces,1,2025-02-11 15:07:44,2025-04-14 09:16:44,510000
5177408305,4-6/460 Wilsons Road North,Christchurch City,Waltham,Canterbury,55,0,1.0,1.0,,0,2025-02-18 15:56:57,2025-05-13 14:56:57,0
5177407990,1-4/460 Wilsons Road North,Christchurch City,Waltham,Canterbury,127,0,2.0,3.0,Garages: 1,1,2025-02-18 15:56:44,2025-04-15 14:59:12,0
5120607442,50b Karnak Crescent,Christchurch City,Russley,Canterbury,230,869,2.0,3.0,,5,2025-01-14 14:11:33,2025-04-11 14:53:33,900000
5154193869,5 Shaftesbury Street,Christchurch City,Avonhead,Canterbury,104,420,2.0,3.0,1 car garaging,1,2025-02-04 13:24:12,2025-04-14 11:05:12,0
5154179064,16 Globe Bay Drive,Christchurch City,Templeton,Canterbury,164,519,2.0,4.0,2 garage spaces,2,2025-02-04 13:14:18,2025-04-15 11:21:18,0
5142862988,19 Glenbyre Place,Christchurch City,Bromley,Canterbury,130,684,1.0,3.0,,4,2025-01-28 13:14:26,2025-04-14 19:35:26,700000
5177209118,51 Greendale Avenue,Christchurch City,Avonhead,Canterbury,0,610,1.0,3.0,1 garage spaces,1,2025-02-18 13:20:12,2025-04-15 13:41:51,660000
5165717693,1/129 Avonhead Road,Christchurch City,Avonhead,Canterbury,140,0,1.0,3.0,2 car garaging,2,2025-02-11 12:07:05,2025-04-14 10:15:05,680000
5165686666,38 Grange Street,Christchurch City,Hillsborough,Canterbury,0,716,1.0,3.0,,2,2025-02-11 11:15:54,2025-04-09 07:36:54,650000
5142727084,19C Walpole Street,Christchurch City,Waltham,Canterbury,104,176,1.0,2.0,,2,2025-01-28 11:02:04,2025-04-07 10:07:04,600000
5177037839,16 Colchester Place,Christchurch City,Templeton,Canterbury,170,668,1.0,4.0,2 Car Garaging & Lockup.,2,2025-02-18 10:16:42,2025-04-15 09:16:42,700000
5152924015,300 Withells Road,Christchurch City,Avonhead,Canterbury,120,0,1.0,3.0,2 Car Garaging & Lockup.,2,2025-02-03 15:53:07,2025-04-14 06:28:07,610000
5164392612,41 Balrudry Street,Christchurch City,Avonhead,Canterbury,140,1717,2.0,3.0,"1 garage spaces, 1 carport spaces",1,2025-02-10 14:37:57,2025-04-15 12:42:16,1030000
5175773193,32 Ensors Road,Christchurch City,Opawa,Canterbury,76,0,1.0,2.0,Carport available,0,2025-02-17 14:48:21,2025-05-12 13:48:21,0
5130351720,8 Nursery Road,Christchurch City,Phillipstown,Canterbury,0,450,2.0,4.0,,0,2025-01-20 13:02:30,2025-04-11 10:24:30,405000
