ListingId,Address,District,Suburb,Region,Area,LandArea,Bathrooms,Bedrooms,Parking,TotalParking,StartDate,EndDate,RateableValue
5154193869,5 Shaftesbury Street,Christchurch City,Avonhead,Canterbury,104,420,2,3,1 car garaging,1,2025-02-04 13:24:12,2025-04-14 11:05:12,0
5177209118,51 Greendale Avenue,Christchurch City,Avonhead,Canterbury,0,610,1,3,1 garage spaces,1,2025-02-18 13:20:12,2025-04-15 13:41:51,660000
5165717693,1/129 Avonhead Road,Christchurch City,Avonhead,Canterbury,140,0,1,3,2 car garaging,2,2025-02-11 12:07:05,2025-04-14 10:15:05,680000
5152924015,300 Withells Road,Christchurch City,Avonhead,Canterbury,120,0,1,3,2 Car Garaging & Lockup.,2,2025-02-03 15:53:07,2025-04-14 06:28:07,610000
5164392612,41 Balrudry Street,Christchurch City,Avonhead,Canterbury,140,1717,2,3,"1 garage spaces, 1 carport spaces",1,2025-02-10 14:37:57,2025-04-15 12:42:16,1030000
4967190842,10 Archdall Place,Christchurch City,Avonhead,Canterbury,0,1060,2,4,2 car garaging,2,2024-10-14 14:40:16,2025-04-09 10:02:16,0
5175660296,481 Avonhead Road,Christchurch City,Avonhead,Canterbury,208,1543,2,4,,0,2025-02-17 13:10:23,2025-04-15 14:44:17,0
5141465516,42 Merrin Street,Christchurch City,Avonhead,Canterbury,266,2013,4,5,2 car garaging,2,2025-01-27 12:48:31,2025-04-07 09:18:31,1710000
5146568113,34 Strathean Avenue,Christchurch City,Avonhead,Canterbury,150,608,2,3,,2,2025-01-30 17:12:45,2025-04-10 08:37:45,760000
5135372933,4 Oakdale Street,Christchurch City,Avonhead,Canterbury,0,809,2,6,1 garage spaces,1,2025-01-23 16:40:22,2025-04-14 10:09:53,0
5135154919,30 Bevington Street,Christchurch City,Avonhead,Canterbury,250,1199,3,5,2 garage spaces,2,2025-01-23 13:55:03,2025-04-15 16:36:42,0
5135035803,33 Glenburn Place,Christchurch City,Avonhead,Canterbury,0,646,2,4,4 garage spaces,4,2025-01-23 12:22:33,2025-04-13 15:01:26,1100000
5168778895,170 Maidstone Road,Christchurch City,Avonhead,Canterbury,0,607,2,3,"2 garage spaces, 2 open spaces",4,2025-02-13 11:25:04,2025-04-14 08:41:34,800000
4982098283,84C Avonhead Road,Christchurch City,Avonhead,Canterbury,160,1497,2,4,Garage with no door,5,2024-10-23 15:17:00,2025-04-10 16:46:00,900000
5167323046,87 Hawthornden Road,Christchurch City,Avonhead,Canterbury,190,682,1,4,2 Car Garaging.,2,2025-02-12 14:15:24,2025-04-15 12:18:19,820000
5133424286,51 Berkshire Drive,Christchurch City,Avonhead,Canterbury,260,700,2,5,Double internal access garage plus off street parking,2,2025-01-22 13:26:16,2025-04-14 09:08:30,1050000
5167297190,22 Brockhall Lane,Christchurch City,Avonhead,Canterbury,0,617,2,4,2 garage spaces,2,2025-02-12 13:51:09,2025-04-11 15:22:35,1000000
5133318403,39 Highfield Place,Christchurch City,Avonhead,Canterbury,240,683,2,5,2 garage spaces,2,2025-01-22 12:03:04,2025-04-11 11:44:45,0
5155386830,172 Avonhead Road,Christchurch City,Avonhead,Canterbury,0,809,3,3,2 garage spaces,2,2025-02-05 08:28:26,2025-04-08 13:01:26,0
5079933678,57 Kent Lodge Avenue,Christchurch City,Avonhead,Canterbury,200,607,2,4,,4,2024-12-20 09:41:47,2025-04-14 07:37:47,770000
5165840528,20 Gainford Street,Christchurch City,Avonhead,Canterbury,0,809,1,3,,4,2025-02-11 13:54:08,2025-04-14 11:57:08,660000
5175854493,35 Balrudry Street,Christchurch City,Avonhead,Canterbury,0,0,1,3,1 garage spaces,1,2025-02-17 15:58:32,2025-04-15 10:24:47,660000
